date;num_tests;num_case;total_intensive_care;total_intubated;num_recovered;num_deaths
11.03.2020;0;1;0;0;0;0
12.03.2020;0;0;0;0;0;0
13.03.2020;0;4;0;0;0;0
14.03.2020;0;0;0;0;0;0
15.03.2020;2800;1;0;0;0;0
16.03.2020;0;12;0;0;0;0
17.03.2020;0;29;0;0;0;1
18.03.2020;7197;51;0;0;0;0
19.03.2020;1981;94;0;0;0;2
20.03.2020;3656;167;0;0;0;1
21.03.2020;2953;311;0;0;0;5
22.03.2020;1758;566;0;0;0;21
23.03.2020;3672;293;0;0;0;7
24.03.2020;3952;343;0;0;0;7
25.03.2020;5035;561;0;0;26;15
26.03.2020;7286;1196;0;0;0;16
27.03.2020;7533;2069;344;241;16;17
28.03.2020;7641;1704;445;309;28;16
29.03.2020;9982;1815;568;394;35;23
30.03.2020;11535;1610;725;523;57;37
31.03.2020;15422;2704;847;622;81;46
1.04.2020;14396;2148;979;692;90;63
2.04.2020;18757;2456;1101;783;82;79
3.04.2020;16160;2786;1251;867;69;69
4.04.2020;19664;3013;1311;909;302;76
5.04.2020;20065;3135;1381;935;256;73
6.04.2020;21400;3148;1415;966;284;75
7.04.2020;20023;3892;1474;987;256;76
8.04.2020;24900;4117;1492;995;264;87
9.04.2020;28578;4056;1552;1017;296;96
10.04.2020;30864;4747;1667;1062;281;98
11.04.2020;33170;5138;1626;1021;542;95
12.04.2020;35720;4789;1665;978;481;97
13.04.2020;34456;4093;1786;1063;537;98
14.04.2020;33070;4062;1809;1087;842;107
15.04.2020;34090;4281;1820;1052;875;115
16.04.2020;40427;4801;1854;1040;1415;125
17.04.2020;40270;4353;1845;1014;1542;126
18.04.2020;40520;3783;1894;1054;1822;121
19.04.2020;35344;3977;1922;1031;1523;127
20.04.2020;39703;4674;1909;1033;1454;123
21.04.2020;39429;4611;1865;1006;1488;119
